model,level,item_id,response,rouge_l
exaone3.5,1,101,"bhc치킨의 '해바라기 봉사단'은 상반기 동안 12회의 봉사활동을 통해 다양한 사회공헌 프로젝트를 진행했으며, 특히 대면 활동을 확대했습니다. 대학생 자원봉사단체인 이들은 컬러링북 제작부터 환경정화 활동까지 다양한 분야에서 봉사하며, 지역 아동들에게 치킨을 기부하는 등 가맹점들과 함께 사회적 가치를 실천했습니다. bhc치킨은 하반기에도 BSR 프로그램을 강화하여 본사와 가맹점, 고객이 함께 참여하는 사회공헌활동을 지속적으로 확대할 계획입니다.",0.3023255813953489
exaone3.5,1,1044,"금융감독원 직원들의 평균 평가 상여금이 전년 대비 94만원 증가하여 643만원으로 4년 만에 600만원대에 재진입했다. 그러나 금감원의 경영 평가 세부 내용은 공개되지 않아 개선 방안 마련에 어려움이 제기되고 있다. 올해 금감원 업무 만족도는 86.6점으로 상승했으나, 민원 및 분쟁 조정 분야는 여전히 낮은 점수를 받았다. 윤창현 의원은 이복현 원장에게 금감원의 역할 강화와 혁신을 촉구했다.",0.25
exaone3.5,1,1054,"우리금융그룹의 손태승 회장이 자사주 5000주를 장내 매입하여 총 11만8127주를 보유하게 되었으며, 이는 주가 저평가 시기에 기업 가치 제고 의지를 보여주는 세 번째 자사주 매입이다. 최근 미주 지역에서의 적극적인 기업설명회(IR) 활동으로 해외 투자자들의 긍정적인 반응을 얻으며, 우리금융지주의 해외 투자 관심이 증가하고 있다. 회장은 국내외 투자자 기반 확대를 위한 노력을 지속할 계획이다.",0.3814432989690722
exaone3.5,1,1064,"테슬라의 비트코인 평가액이 3개월 만에 약 5700억원의 손실을 기록하며 1조630억원으로 급락했다. 이는 비트코인 가격 폭락으로 인한 것으로, 지난해 10월 10억 달러의 차익을 기록했던 것과 대조적이다. 테슬라의 경우 비트코인을 상품 결제 수단으로 도입하려 했으나 CEO의 탄소 배출 우려로 인해 계획이 지연되었으며, 현재의 손실은 회계상으로는 직접 반영되지 않는다.",0.2380952380952381
exaone3.5,1,1096,"전진바이오팜이 포파코와 10억원 규모의 반려동물 사료 및 용품 공급계약을 체결했으며, 네이처플랜이 공동으로 개발한 프리미엄 사료 브랜드 '페디칼'이 출시되었다. 이 제품은 관절건강부터 체지방 감소까지 다양한 기능성을 갖춘 반려견 4종과 반려묘 2종으로 구성되어 있으며, 유기농 성분과 HACCP 인증을 통해 안전성이 보장된다.  온라인과 폴리파크 매장에서 구매 가능하다.",0.3236994219653179
exaone3.5,1,1112,"한덕수 국무총리는 5일 팜 민 찐 베트남 총리와 통화를 통해 양국 간 경제협력 강화와 2030 부산 세계박람회 협력 등 다양한 분야의 협력 확대를 논의했다. 특히, 한국은 베트남의 주요 교역국으로서 자유무역협정과 RCEP을 활용한 교역 확대를 제안했으며, 양국은 상호 방문을 통한 외교 관계 강화를 약속했다. 이번 통화는 수교 30주년을 맞아 양국 관계를 전략적 동반자 관계로 발전시키기 위한 중요한 단계로 평가된다.",0.2458100558659218
exaone3.5,1,1124,"올해 상반기 서울, 경기, 인천의 아파트 청약 경쟁률과 최저 당첨 가점이 지난해 대비 크게 하락했으며, 특히 대구는 당첨 최저 가점이 0점을 기록했다. 수도권의 하락폭이 전국 평균보다 컸고, 지방의 경우 경쟁률은 상승했으나 최저 가점은 하락 추세를 보였다. 전문가는 분양가 상승으로 인해 고가 주택에 대한 수요가 줄어들 것으로 전망하며, 규제지역 조정으로 하반기에는 일부 지역의 청약 경쟁률 상승을 예상했다.",0.3125
exaone3.5,1,1137,"바이오니아는 범부처전주기 의료기기 연구개발사업단 과제에 선정되어 HIV와 B형, C형 간염 진단 시약의 유럽 체외진단 의료기기 인증을 추진한다. 이 과제는 총 37억5000만원 규모로, 바이오니아는 유럽 임상 비용 절감과 함께 국내 기업들의 국제 임상 기회 확대에 기여할 예정이다. 개선된 상온 보관 진단키트를 통해 ExiStation FA 96 384 시스템을 하반기 출시하며, 2025년까지 6억 달러 매출 목표를 향해 나아갈 계획이다.",0.31088082901554404
exaone3.5,1,1151,"올 여름 폭염으로 인해 전력 수요가 급증하여 예비율이 낮아지고 있으며, 특히 8월에는 비상경보 기준까지 떨어질 가능성이 있어 전력 공급이 빠듯한 상황입니다. 미용실 등에서는 냉방 강화로 전력 소비가 증가하고 있으며, 정부는 신규 설비 활용과 수요 관리로 전력난을 완화하려는 방침입니다. 전문가들은 수요자원 활용 등 추가적인 대책 필요성을 제기하고 있습니다.",0.2105263157894737
exaone3.5,1,1174,"정부는 정보통신공사업법 시행령을 개정하여 대기업 공사업자 기준과 최소 도급 금액 하한선(10억원)을 설정하고, 무자격자의 불법 광고에 대한 과태료 부과를 도입했다. 이 개정안은 중소 업체 보호와 시장 질서 확립을 목표로 하며, 12일부터 시행된다. 또한, 정보보안 등 관련 자격증 인정 종목을 확대하여 업계 전문성을 강화할 계획이다.",0.26086956521739135
